item_id,item_name,item_desc,price,image,isfeatured,type,,,,
00001,Sauteed Shredded Pork with Soy Bean Paste,Served with dry tofu sheets.,21,P001,0,Stir Fired,,,,
00002,House Special Fried Rice with Flying Fish Roe,"Fried rice with flying fish roe and egg is a delicacy with rice, flying fish roe, egg ",17,P002,0,Main,,,,
00003,Crab and Pork Steamed Buns,8 PC per order,12,P003,1,House Special Stuffed Bun,,,,
00004,Ancient Recipe Marinated Ground Pork Steamed Buns,8 PC per order. Marinated Ground Pork and Chinese Chive,11.9,P004,0,House Special Stuffed Bun,,,,
00005,Dumpling stuffed with Ground Pork and Cabbage,12 PC per order,12,P005,0,Dumplings,,,,
00006,Dumpling stuffed with Ground Pork and Dill,12 PC per order,12,P006,0,Dumplings,,,,
00007,"Dampling stuffed with Chives, Scrambled Eggs, and Shrimps",12 PC per order,12,P007,0,Dumplings,,,,
00008,Dumpling stuffed with Ground Pork and pickled cabbage,12 PC per order,12,P008,0,Dumplings,,,,
00009,Tianjin Savior Crepe,1 PC per order,8,P009,0,Snacks,,,,
00010,Cheese and sautéed Beef in Tianjin Crepe,1 PC per order,21,P010,0,Snacks,,,,
00011,Shredded pork tripe in chili sauce,Stir-fried pork with chili peppers is a dish made with chili peppers and pork,14,P011,0,Cold Dishes,,,,
00012,Spicy Fern Root Noodles in Dark Vinegar,Noodles cooked with black vinegar and spicy sauce,12,P012,0,Cold Dishes,,,,
00013,Breised Beef Shank with Soy Sauce,"Beef as the main raw material, after a variety of seasoning marinade and made a meat products",15,P013,0,Cold Dishes,,,,
00014,Spicy sour soup,Spicy and sour tasting soup,14,P014,0,Soup,,,,
00015,Sichuan Beef in Chili Broth,Very spicy beef dishes,20,P015,0,Stir Fired,,,,
00016,Mapo Tofu,Tofu cooked with spicy sauce and ground pork,17,P016,0,Stir Fired,,,,
00017,Mandarin Fish Filets in Hot Chili Oil,A very spicy fish dish,23,P017,1,Stir Fired,,,,
00018,Bamboo Shoots and Shredded Pork,Stir-fry chopped meat with chopped bamboo shoots,18,P018,1,Stir Fired,,,,
00019,Shredded Pork with Assorted Vegetable Sauteed Fish Flavor,A variety of different vegetables stir-fried with chopped pork,19,P019,0,Stir Fired,,,,
00020,Pork intestine and Green Pepper Sauteed in Casserole,Stir-fried pork intestines with chopped green peppers,22,P020,1,Stir Fired,,,,
00021,Cauliflower with meat,Cauliflower and chopped pork stir-fried together,17,P021,0,Stir Fired,,,,
00022,Soy flavored Eggplant,Eggplant with sauce flavor,16,P022,0,Vegetarian,,,,
00023,fish-flavored eggplant,The main ingredients are cooked with Pixian douban and other seasonings,16,P023,0,Vegetarian,,,,
00024,"Stir-fried pine nuts, baby corn and white mushroom",Stir-fry pine nuts and corn with mushrooms,17,P024,0,Vegetarian,,,,
00025,Braised Mushroom and Winter Bamboo Shoots Stir Fry,Stir-fry bamboo shoots and mushrooms together,18,P025,0,Vegetarian,,,,
00026,"Preserved pork, cabbage and long beans fried rice","Fried rice with bacon, cabbage and beans",18,P026,0,Main,,,,
00027,fried rice with dried shrimp in lotus leaf,Fried rice with lotus leaves and shrimps,19,P027,0,Main,,,,
00028,Assorted Seafood Fried Noodles,Use a variety of seafood to stir-fry noodles,15,P028,0,Main,,,,
00029,"Vegetable Fried Noodles ",Use different vegetables to stir-fry noodles,13,P029,0,Main,,,,
00030,Stir Fried Rice Noodles with Beef and Scallion,Rice noodles stir-fried with beef,16,P030,0,Main,,,,
00031,Little Glutinous Rice Balls in Sweet Fermented Rick Wine,Sweet sticky rice balls,9,P031,0,Special Dessert,,,,
00032,Egg Yolk Pastry,Dessert made of egg yolk and flour,9,P032,0,Special Dessert,,,,
